name,year,genre,duration,rating,url
Incendies,2010,Drama,2h 11m,8.3,https://www.imdb.com/title/tt1255953/?ref_=adv_li_tt
A Separation,2011,Drama,2h 3m,8.3,https://www.imdb.com/title/tt1832382/?ref_=adv_li_tt
Dangal,2016,Action,2h 41m,8.3,https://www.imdb.com/title/tt5074352/?ref_=adv_li_tt
The Great Dictator,1940,Comedy,2h 5m,8.4,https://www.imdb.com/title/tt0032553/?ref_=adv_li_tt
Sunset Blvd.,1950,Drama,1h 50m,8.4,https://www.imdb.com/title/tt0043014/?ref_=adv_li_tt
High and Low,1963,Crime,2h 23m,8.4,https://www.imdb.com/title/tt0057565/?ref_=adv_li_tt
Witness for the Prosecution,1957,Crime,1h 56m,8.4,https://www.imdb.com/title/tt0051201/?ref_=adv_li_tt
Paths of Glory,1957,Drama,1h 28m,8.4,https://www.imdb.com/title/tt0050825/?ref_=adv_li_tt
The Shining,1980,Drama,2h 26m,8.4,https://www.imdb.com/title/tt0081505/?ref_=adv_li_tt
The Boat,1981,Drama,,8.4,https://www.imdb.com/title/tt0082096/?ref_=adv_li_tt
Come and See,1985,Drama,2h 22m,8.4,https://www.imdb.com/title/tt0091251/?ref_=adv_li_tt
Oldboy,2003,Action,2h,8.4,https://www.imdb.com/title/tt0364569/?ref_=adv_li_tt
Braveheart,1995,Biography,2h 58m,8.4,https://www.imdb.com/title/tt0112573/?ref_=adv_li_tt
American Beauty,1999,Drama,2h 2m,8.4,https://www.imdb.com/title/tt0169547/?ref_=adv_li_tt
Amadeus,1984,Biography,2h 40m,8.4,https://www.imdb.com/title/tt0086879/?ref_=adv_li_tt
The Lives of Others,2006,Drama,2h 17m,8.4,https://www.imdb.com/title/tt0405094/?ref_=adv_li_tt
Like Stars on Earth,2007,Drama,2h 45m,8.4,https://www.imdb.com/title/tt0986264/?ref_=adv_li_tt
3 Idiots,2009,Comedy,2h 50m,8.4,https://www.imdb.com/title/tt1187043/?ref_=adv_li_tt
The Green Mile,1999,Crime,3h 9m,8.6,https://www.imdb.com/title/tt0120689/?ref_=adv_li_tt
Goodfellas,1990,Biography,2h 25m,8.7,https://www.imdb.com/title/tt0099685/?ref_=adv_li_tt
Interstellar,2014,Adventure,2h 49m,8.6,https://www.imdb.com/title/tt0816692/?ref_=adv_li_tt
Saving Private Ryan,1998,Drama,2h 49m,8.6,https://www.imdb.com/title/tt0120815/?ref_=adv_li_tt
One Flew Over the Cuckoo's Nest,1975,Drama,2h 13m,8.7,https://www.imdb.com/title/tt0073486/?ref_=adv_li_tt
City of God,2002,Crime,2h 10m,8.6,https://www.imdb.com/title/tt0317248/?ref_=adv_li_tt
Forrest Gump,1994,Drama,2h 22m,8.8,https://www.imdb.com/title/tt0109830/?ref_=adv_li_tt
Fight Club,1999,Drama,2h 19m,8.8,https://www.imdb.com/title/tt0137523/?ref_=adv_li_tt
The Lord of the Rings: The Fellowship of the Ring,2001,Action,2h 58m,8.8,https://www.imdb.com/title/tt0120737/?ref_=adv_li_tt
The Lord of the Rings: The Two Towers,2002,Action,2h 59m,8.8,https://www.imdb.com/title/tt0167261/?ref_=adv_li_tt
Pulp Fiction,1994,Crime,2h 34m,8.9,https://www.imdb.com/title/tt0110912/?ref_=adv_li_tt
The Godfather Part II,1974,Crime,3h 22m,9.0,https://www.imdb.com/title/tt0071562/?ref_=adv_li_tt
12 Angry Men,1957,Crime,1h 36m,9.0,https://www.imdb.com/title/tt0050083/?ref_=adv_li_tt
Schindler's List,1993,Biography,3h 15m,9.0,https://www.imdb.com/title/tt0108052/?ref_=adv_li_tt
The Dark Knight,2008,Action,2h 32m,9.0,https://www.imdb.com/title/tt0468569/?ref_=adv_li_tt
Jai Bhim,2021,Crime,2h 44m,8.9,https://www.imdb.com/title/tt15097216/?ref_=adv_li_tt
The Lord of the Rings: The Return of the King,2003,Action,3h 21m,9.0,https://www.imdb.com/title/tt0167260/?ref_=adv_li_tt
The Godfather,1972,Crime,2h 55m,9.2,https://www.imdb.com/title/tt0068646/?ref_=adv_li_tt
